time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909112,164000,2456982,5,5,6006,6006,1686,1686,61967,61967,61963,61962,0,0,11451,12542,7884,61967,1691,0,78,12,0,0,11451,0,0,0,7,11,0,2022-07-04T07:31:52,-253,-4.213933333333333,1656909122.515152,2022-07-04T07:32:02,-253991,-4.233183333333334,96.86910244521566
1656909128,454000,2473272,5,5,6738,6738,1695,1695,62301,62301,62297,62296,0,0,11506,12768,8273,62301,1700,0,79,12,0,0,11506,0,0,0,216,11,0,2022-07-04T07:32:08,-237,-3.9424333333333332,1656909136.3462489,2022-07-04T07:32:16,-237701,-3.9616833333333332,97.14279111028492
1656909151,880000,2496698,5,5,7700,7700,1706,1706,62741,62741,62737,62736,0,0,11577,13148,8784,62741,1711,0,81,12,0,0,11577,0,0,0,116,11,0,2022-07-04T07:32:31,-214,-3.552,1656909160.983644,2022-07-04T07:32:40,-214275,-3.57125,97.29003444064762
1656909164,104000,2508921,5,5,8455,8455,1716,1716,63082,63082,63078,63077,0,0,11640,13148,9188,63082,1721,0,81,12,0,0,11640,0,0,0,199,11,0,2022-07-04T07:32:44,-201,-3.3482666666666665,1656909171.6480958,2022-07-04T07:32:51,-202052,-3.3675333333333333,96.98540666984057
1656909177,355000,2522171,5,5,9287,9287,1724,1724,63460,63460,63456,63454,0,0,11708,13148,9634,63460,1729,0,81,12,0,0,11708,0,0,0,66,11,0,2022-07-04T07:32:57,-188,-3.127416666666667,1656909185.3223279,2022-07-04T07:33:05,-188802,-3.1467,97.24858103971985
1656909188,571000,2533388,5,5,9991,9991,1734,1734,63780,63780,63776,63775,0,0,11762,13148,10008,63780,1739,0,81,12,0,0,11762,0,0,0,129,11,0,2022-07-04T07:33:08,-177,-2.9404833333333333,1656909195.528688,2022-07-04T07:33:15,-177585,-2.95975,96.35686138499223
1656909209,947000,2554764,5,5,10742,10742,1744,1744,64124,64124,64120,64119,0,0,11815,13591,10405,64124,1749,0,83,12,0,0,11815,0,0,0,226,11,0,2022-07-04T07:33:29,-156,-2.584216666666667,1656909219.6013758,2022-07-04T07:33:39,-156209,-2.6034833333333336,96.65528631919878
1656909222,167000,2566984,5,5,11491,11491,1753,1753,64463,64463,64459,64458,0,0,11877,13591,10806,64463,1758,0,83,12,0,0,11877,0,0,0,55,11,0,2022-07-04T07:33:42,-143,-2.38055,1656909230.7744079,2022-07-04T07:33:50,-143989,-2.3998166666666667,96.59381866455078
1656909234,389000,2579205,5,5,12265,12265,1762,1762,64815,64815,64811,64810,0,0,11938,13591,11219,64815,1767,0,84,13,0,0,11938,0,0,0,148,11,0,2022-07-04T07:33:54,-131,-2.17685,1656909244.398905,2022-07-04T07:34:04,-131768,-2.1961333333333335,96.80649326947628
1656909243,555000,2588371,5,5,12843,12843,1769,1769,65077,65077,65073,65072,0,0,11985,13591,11528,65077,1774,0,84,13,0,0,11985,0,0,0,153,11,0,2022-07-04T07:34:03,-122,-2.024083333333333,1656909254.659756,2022-07-04T07:34:14,-122602,-2.0433666666666666,97.54156702074478
1656909258,821000,2603637,5,5,13507,13507,1777,1777,65379,65379,65375,65374,0,0,12037,13812,11882,65379,1782,0,85,13,0,0,12037,0,0,0,76,11,0,2022-07-04T07:34:18,-107,-1.76965,1656909268.193745,2022-07-04T07:34:28,-107336,-1.7889333333333333,97.29631886747819
1656909271,41000,2615857,5,5,14270,14270,1788,1788,186,186,182,181,0,0,12102,13812,12291,186,1793,0,85,13,0,0,12102,0,0,0,163,11,0,2022-07-04T07:34:31,-94,-1.5659833333333333,1656909279.07544,2022-07-04T07:34:39,-95116,-1.5852666666666666,97.78489091751328
1656909293,443000,2638259,5,5,15373,15373,1802,1802,686,686,682,681,0,0,12192,14041,12880,686,1807,0,86,13,0,0,12192,0,0,0,31,11,0,2022-07-04T07:34:53,-72,-1.1926166666666667,1656909302.7319279,2022-07-04T07:35:02,-72714,-1.2119,97.68641632508624
1656909304,642000,2649458,5,5,15835,15835,1806,1806,899,899,895,894,0,0,12224,14218,13125,899,1811,0,87,13,0,0,12224,0,0,0,94,11,0,2022-07-04T07:35:04,-61,-1.0059666666666667,1656909312.79206,2022-07-04T07:35:12,-61515,-1.02525,98.01081064941842
1656909316,864000,2661680,5,5,16607,16607,1817,1817,1247,1247,1243,1242,0,0,12289,14218,13538,1247,1822,0,87,13,0,0,12289,0,0,0,187,11,0,2022-07-04T07:35:16,-49,-0.8022666666666667,1656909325.865417,2022-07-04T07:35:25,-49293,-0.82155,97.95419008993612
